tkszs_date,tkszs_gck
2016/5/5,77.7
2016/5/6,77.7
2016/5/9,76.8
2016/5/10,76.7
2016/5/11,76.3
2016/5/12,76.3
2016/5/13,74.5
2016/5/16,74.4
2016/5/17,74.4
2016/5/18,74.3
2016/5/19,74.3
2016/5/20,74.1
2016/5/23,74.1
2016/5/24,73.6
2016/5/25,72.7
2016/5/26,72.7
2016/5/27,72.7
2016/5/30,68.5
2016/5/31,68.4
2016/6/1,68.4
